Zinnik,Nimy
Zinnik,'s-Gravenbrakel
Nimy,Bergen
Nimy,Zinnik
Bergen,Asquillies
Bergen,Nimy
Lembeek,Bierk
Lembeek,Halle
Bierk,Lettelingen
Bierk,Lembeek
Lettelingen,Edingen
Lettelingen,Bierk
Edingen,Mark
Edingen,Lettelingen
Mark,Zullik
Mark,Edingen
Zullik,Gellingen
Zullik,Mark
Gellingen,Aat
Gellingen,Zullik
Aat,Villers-Notre-Dame
Aat,Gellingen
Villers-Notre-Dame,Chapelle-a-Wattines
Villers-Notre-Dame,Aat
Chapelle-a-Wattines,Leuze-en-Hainaut
Chapelle-a-Wattines,Villers-Notre-Dame
Leuze-en-Hainaut,Barry
Leuze-en-Hainaut,Chapelle-a-Wattines
Barry,Gaurain-Ramecroix
Barry,Leuze-en-Hainaut
Gaurain-Ramecroix,Doornik
Gaurain-Ramecroix,Barry
Doornik,Marquain
Doornik,Gaurain-Ramecroix
Molenbeek-Saint-Jean,Anderlecht
Molenbeek-Saint-Jean,Bruxelles
Anderlecht,Eizeringen
Anderlecht,Molenbeek-Saint-Jean
Eizeringen,Ninove
Eizeringen,Anderlecht
Ninove,Appelterre
Ninove,Eizeringen
Appelterre,Aspelare
Appelterre,Ninove
Aspelare,Ophasselt
Aspelare,Appelterre
Ophasselt,Brakel
Ophasselt,Aspelare
Brakel,Zegelsem
Brakel,Ophasselt
Zegelsem,Horebeke
Zegelsem,Brakel
Horebeke,Volkegem
Horebeke,Zegelsem
Volkegem,Oudenaarde
Volkegem,Horebeke
Oudenaarde,Berchem
Oudenaarde,Volkegem
Berchem,Kerkhove
Berchem,Oudenaarde
Kerkhove,Avelgem
Kerkhove,Berchem
Avelgem,Zwevegem
Avelgem,Kerkhove
Zwevegem,Kortrijk
Zwevegem,Avelgem
Kortrijk,Menen
Kortrijk,Zwevegem
Menen,Geluwe
Menen,Kortrijk
Geluwe,Ieper
Geluwe,Menen
Ieper,Elverdinge
Ieper,Geluwe
Elverdinge,Oostvleteren
Elverdinge,Ieper
Oostvleteren,Hoogstade
Oostvleteren,Elverdinge
Hoogstade,Alveringem
Hoogstade,Oostvleteren
Alveringem,Veurne
Alveringem,Hoogstade
Veurne,Sint-Idesbald
Veurne,Alveringem
Berchem-Saint-Agathe,Dilbeek
Berchem-Saint-Agathe,Molenbeek-Saint-Jean
Dilbeek,Asse
Dilbeek,Berchem-Saint-Agathe
Asse,Affligem
Asse,Dilbeek
Affligem,Aalst
Affligem,Asse
Aalst,Erpe-Mere
Aalst,Affligem
Erpe-Mere,Lede
Erpe-Mere,Aalst
Lede,Wetteren
Lede,Erpe-Mere
Wetteren,Melle
Wetteren,Lede
Melle,Gent
Melle,Wetteren
Gent,Evergem
Gent,Melle
Evergem,Lovendegem
Evergem,Gent
Lovendegem,Zomergem
Lovendegem,Evergem
Zomergem,Waarschoot
Zomergem,Lovendegem
Waarschoot,Eeklo
Waarschoot,Zomergem
Eeklo,Maldegem
Eeklo,Waarschoot
Maldegem,Damme
Maldegem,Eeklo
Damme,Brugge
Damme,Maldegem
Brugge,Zuienkerke
Brugge,Damme
Zuienkerke,De Haan
Zuienkerke,Brugge
De Haan,Bredene
De Haan,Zuienkerke
Bredene,Oostende
Bredene,De Haan
Boechout,Lier
Boechout,Mortsel
Lier,Koningshooikt
Lier,Boechout
Koningshooikt,Heist-op-den-Berg
Koningshooikt,Lier
Heist-op-den-Berg,Begijnendijk
Heist-op-den-Berg,Koningshooikt
Begijnendijk,Aarschot
Begijnendijk,Heist-op-den-Berg
Aarschot,Rillaar
Aarschot,Begijnendijk
Rillaar,Scherpenheuvel
Rillaar,Aarschot
Sint-Mariaburg,Kapellen
Sint-Mariaburg,Donk
Kapellen,Putte
Kapellen,Sint-Mariaburg
Borgerhout,Deurne
Borgerhout,Antwerpen
Deurne,Wijnegem
Deurne,Borgerhout
Wijnegem,Schilde
Wijnegem,Deurne
Schilde,Sint-Antonius (Zoersel)
Schilde,Wijnegem
Sint-Antonius (Zoersel),Westmalle
Sint-Antonius (Zoersel),Schilde
Westmalle,Oostmalle
Westmalle,Sint-Antonius (Zoersel)
